spindle_temp,vibration_rms,coolant_flow,spindle_overheat
moderate,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,moderate,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
moderate,low,high,0
moderate,low,high,0
high,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
moderate,low,high,0
moderate,low,high,0
moderate,low,high,0
moderate,low,high,0
moderate,low,high,0
low,low,high,0
moderate,low,high,0
moderate,low,high,0
moderate,low,high,0
moderate,low,high,0
moderate,low,high,0
low,low,high,0
moderate,low,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
moderate,low,high,0
moderate,low,high,0
moderate,moderate,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
moderate,low,high,0
moderate,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
high,moderate,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,moderate,high,0
moderate,low,high,0
moderate,moderate,high,0
moderate,low,high,0
moderate,low,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,moderate,high,0
low,low,high,0
moderate,moderate,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
moderate,low,high,0
moderate,moderate,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
moderate,low,high,0
low,low,high,0
moderate,moderate,high,0
moderate,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
moderate,low,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
low,moderate,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
moderate,moderate,high,0
low,low,high,0
moderate,moderate,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
moderate,moderate,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
moderate,moderate,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,moderate,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
moderate,moderate,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
high,moderate,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
high,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
moderate,low,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
high,moderate,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
moderate,low,high,0
moderate,low,high,0
high,low,high,0
moderate,low,high,0
high,low,high,0
low,low,high,0
moderate,low,high,0
moderate,low,high,0
moderate,low,high,0
high,moderate,high,0
moderate,low,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
moderate,low,high,0
low,low,high,0
moderate,low,high,0
moderate,low,high,0
high,moderate,high,0
moderate,low,high,0
low,low,high,0
moderate,low,high,0
high,moderate,high,0
low,low,high,0
low,low,high,0
low,low,high,0
moderate,low,high,0
moderate,low,high,0
moderate,low,high,0
low,low,high,0
moderate,low,high,0
high,low,high,0
moderate,low,high,0
moderate,low,high,0
moderate,low,high,0
moderate,low,high,0
high,moderate,high,0
low,low,high,0
moderate,low,high,0
moderate,low,high,0
moderate,low,high,0
low,low,high,0
moderate,low,high,0
moderate,low,high,0
moderate,low,high,0
high,low,high,0
